article_id,Session source / medium,Views
202401300002,google / organic,207571
202401300002,(direct) / (none),8257
202401300002,Yahoo / news,3598
202402020030,google / organic,122892
202402020030,(direct) / (none),58395
202402020030,FB / article,18248
202402070006,FB / article,115879
202402070006,google / organic,59727
202402070006,(direct) / (none),25022
202402060007,google / organic,180511
202402060007,(direct) / (none),8344
202402060007,LINE / news,4314
202402040002,FB / article,98910
202402040002,google / organic,48600
202402040002,(direct) / (none),26795
202402080008,google / organic,67399
202402080008,FB / article,29804
202402080008,(direct) / (none),26045
202402080007,google / organic,113491
202402080007,FB / article,5932
202402080007,(direct) / (none),4616
202402020014,google / organic,39625
202402020014,(direct) / (none),23332
202402020014,LINE / news,5319
202402020027,FB / article,24352
202402020027,LINE / news,20980
202402020027,google / organic,15659
202401240056,google / organic,34629
202401240056,(direct) / (none),15403
202401240056,push / text,942
