content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,活絡「新40族群」  這600萬人能阻止台灣經濟空洞 - 商業周刊第1880期 - 商周線上讀,現在，是時候翻轉我們對壯世代看法的角度了，因為它與台灣最棘手的高齡與少子化問題，息息相關。台灣將進入超高齡社會，乍聽是負分，但這裡也可以是壯世代產業的最佳孵化地，因為這裡處處皆場景。壯世代，其實擁有40歲時的活力與企圖，當大家能用全新的視野看待他們，不再傲慢歧視，就有機會踩動飛輪，讓台灣朝正向循環的未來邁進。,封面故事, ,2023-11-23,"壯世代,少子化,高齡化,超高齡社會,年輕人"
,OK超商被蝦皮分手　三提問避當大平台時代的輸家 - 商業周刊第1880期 - 商周線上讀,蝦皮宣布將停止與OK超商「雙向寄件」，OK坦言，這一天遲早會來。大平台時代，與大電商合作前要先釐清：你對合作者來說，是否扮演難取代的關鍵要角、有卡住價值創造過程裡的瓶頸？合作後須持續觀察：核心能力是否在其他生態系裡也有需求？是否轉移到另一個生態系？最後則要思考：是否有群死忠客，足以跟強勢合作者議價？,火線話題, ,2023-11-23,"蝦皮,平台,超商,ok,7-ELEVEN,物流,外送"
,聯發科5個月漲40%，為什麼還會繼續漲？輾壓華為、高通,聯發科自6月底以來已經連5月上漲，股價已飆漲近40%。同期漲勢不僅遠超費城半導體指數的2%，也優於同業高通的7%。這波漲勢主要拜採用聯發科晶片的手機需求強勁所賜，聯發科適時推出最先進的晶片、AI產品，,財經,產業動態,2023/11/28,"聯發科, 大摩, 高通, 天璣9300"
,歷史：Fed結束升息一年後、標普500平均可漲17%,過去歷史顯示，當聯準會結束升息循環，標準普爾500指數平均可在接下來一年出現雙位數漲幅。市場相信是最後一次升息，歷史暗示標普500有機會一路上漲至2024年上半年、漲幅上看17%。歷史顯示，Fed結束,財經,投資理財,2023/11/28," 投資, 升息, 利率,聯準會, 標普"
,閃過WeWork踩的錢坑　瑞士共享辦公室全球崛起 - 商業周刊第1880期 - 商周線上讀,隨著WeWork宣布破產，共享辦公室領域卻在迎來新的轉機。《華爾街日報》指出，數百萬白領工作者仍迫切需要具備彈性且符合個人需求的「第3空間」。這股新浪潮中，總部位於瑞士的IWG集團成為最關鍵的玩家，以其獨特的商業模式和全球超過3千5百個據點，展現了相對穩健的營運狀態。請看商周報導。,國際視窗, ,2023-11-23,"wework,共享辦公室"
,出現臭蟲床蝨代表環境髒亂嗎？躲在哪、被咬怎麼辦？根除靠一招才有用,臭蟲是一種吸血昆蟲，被吸血後，身體會紅腫、發癢。臭蟲通常會在寢具的縫隙處產卵，孵出後會棲息在床板、床墊、釘孔、木材接縫、床罩邊緣等。主要在夜間活動，日間活動力弱，通常在縫隙間潛藏。被臭蟲咬到後會有搔癢,焦點,時事分析,2023/11/24,"法國,床蝨,臭蟲,韓國,昆蟲"
,外表年輕20歲、有穩定收入！77歲OL，她為何不退休？,1.77歲珠寶店店員，每天上班8小時，每週工作5天。她不只全年無休，還有強烈的競爭意識，深怕一不小心就被淘汰。2.我們過去常說「這人七老八老，盡做些不符年紀的事」，但在長壽的社會，這個觀念恐怕要被顛覆,職場,職場修練,2021/12/17,"求職,工作,職涯規劃,退休,青銀共事,洪雪珍"
,I only work for big names！現在的年輕人，不信這套了？,1.剛入職場時，我們總會被大公司光環吸引，嚮往公司健身房、接駁巴士、自助餐食堂等各種好康，卻忽視了進入大公司的機會成本。2.大公司、小公司的抉擇，是一道萬年職場題，看似是體制與成長空間的抉擇，其實這樣,職場,職場修練,2021/11/10,"轉職,選擇,新創,小公司,職缺,大公司"
,超高齡海嘯倒數計時 前瞻「銀髮經濟」新商機,行政院鄭文燦副院長（左四）、台灣人壽鄭泰克董事長（右三）、宏碁集團施振榮創辦人（左三）等多位重量級專家學者，齊聚2023「銀髮金融論壇」。／台灣人壽提供台灣邁入「超高齡社會」開始倒數計時，在平均餘命不,財經,,2023/11/27,
, 2023最後一個月怎麼投資？資深大戶推10檔個股：到明年Q1都有行情,2023最後一個月怎麼投資？美股高科技仍是主角、債市進場風險不大甚至有不錯報酬。新興市場漲幅潛力大。台股有10檔到明年第一季都值得期待。,財經,投資理財,2023/11/28,"利率,新興市場,總統大選,2023投資,美股,債市"
