content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
,信義房屋接班人的AI轉型計　讓成交率多2成、離職降1成！ - 商業周刊第1886期 - 商周線上讀,信義房屋辦人周俊吉的大兒子周耕宇，5年前接下數位轉型重任，靠著不強制全員配合、翻轉使命必達等傳統思維，在疫情、房市交易量萎縮之際，拚出一個成交轉換率高2成的AI新兵器，還靠各種數位轉型，穩住企業獲利，順利接班成為新董座。,產業風雲, ,2024-01-04,"AI,數位轉型,周耕宇,信義房屋,房仲"
,一年股價漲1.9倍僅次輝達　Meta佐伯格認錯逆轉危機 - 商業周刊第1886期 - 商周線上讀,在2023年，臉書母公司Meta經歷逆轉勝，股價上漲1.9倍，超越蘋果、微軟，在標準普爾500大企業中僅次於輝達。Meta執行長佐伯格實施裁員和財務改善，積極回應投資者擔憂，並轉變態度，開始聆聽股東意見，將公司聚焦在當下重要事務。Meta透過人工智慧、開源系統提升效率，成功應對市場變化。儘管面臨挑戰，分析師仍看好其未來發展。,投資焦點, ,2024-01-04,"Meta,臉書,佐伯格,元宇宙,短影音,Threads,人工智慧"
,全球航線大亂，航運股強勁漲停⋯收一櫃賺一櫃趁現在,紅海危機造成全球海運航線大亂，貨櫃運價從疫後的谷底攀升，迄今漲了3~4倍。除了航商率先受惠，全球貿易需求的外溢效應爆開，讓散裝、航空、貨攬、相關業者全都得利。缺船、缺櫃的「供應鏈焦慮」大爆發，航運股成,國際,全球話題,2024/01/05," 長榮,紅海, 航運股, 運價"
,AI、重電、車電帶頭攻萬八　台股旺到2024的關鍵字 - 商業周刊第1886期 - 商周線上讀,"2023年台股表現優異，1年內上漲3,800點，接近萬八歷史高，漲幅高達27％，在全球主要股市中名列前茅。台股漲幅前10大個股，主要集中在AI伺服器、汽車零組件和重電股3大族群，加上這些產業具有「汰舊換新」和「長線保護短線」2大優勢，可望在2024年繼續成為帶領大盤續攻萬八的投資熱點。",投資焦點, ,2024-01-04,"台股,AI,車電,重電,萬八,緯創,緯穎,華城"
,不甜的飲料最好賣？可口可樂、麥當勞怎麼放下身段打「低糖戰」,全球飲料市場持續以每年11.9％的複合成長率成長，其中商機就在於更精準了解消費者對「健康」的想法——尤其是甜度。包括可口可樂、麥當勞這些過去在「含糖飲料」稱霸的品牌，現在都推出無糖、低糖甚至甜度客製化,財經,產業動態,2024/01/05,"可口可樂,誠實茶,麥當勞,低糖,飲料"
,年輕人努力也買不起房！Dcard林裕欽：若不能幫他們成長，他們就會開除公司,1.Dcard執行長林裕欽，堅持每天5點多起床，利用早上最清醒的時間閱讀。他認為管理觀念可以在短時間內快速成長，但公司的長遠發展卻需要領導人不斷學習、累積、行動。2.林裕欽提供Dcard員工各種學習補,財經,焦點人物,2021/11/05,"Dcard,補助,林裕欽,教育訓練"
,台積電10年主管：升遷速度快的人⋯開會時，不會做這5件事,1.開會沒效率、開會頻率過高，是許多工作者共有的經驗；會議管理也是許多企業顧問授課的項目。2.不論是會議參與者、會議主持人，都要注意以下5點：提早15分鐘進會議室、準備會議議程、通知相關決策者參與、充,職場,職場修練,2023/03/17,"準備資料,台積電,主持人,禁忌,會議,議程"
,想退休又怕錢不夠？比「先苦後甘」更聰明的生活模式：迷你退休,迷你退休的概念，就是「製作蛋糕，並享用蛋糕」。與其將休息和享樂一再延遲、統統放到退休之後，不如將工作和休息交替進行，只在身體機能處於最高效的時候工作，生活才會更充實和愉悅。,職場,職場修練,2020/08/21,"迷你退休,退休,退休金"
,沿著多瑙河漫遊風華絕代的歷史軌跡，置身「水上豪華旅店」UNIWORLD寰宇河輪，「精品慢旅」細細品味中世紀美學風采,在風光明媚的秋天午後，搭乘河輪，沿著多瑙河一路順流，穿梭在歐陸四國的核心地帶，在古都城堡間遊歷，盡賞皇室貴族們氣派的巍峨宮殿，如巴洛克式的華麗莊嚴、洛可可式的優雅柔美。下了船，信步走入古老小鎮的石階步,生活,旅遊,2023/12/18,"鳳凰,寰宇精品,河輪,多瑙河,深度旅遊"
,2024總統大選》房產專家對3組候選人「住房政策」的最犀利提問,2024年總統大選即將投票，隨著總統、副總統候選人政見發表會結束，三黨提出的住宅政策越來越清晰。「高房價下的居住正義」是三黨候選人有志一同想解決的命題。以下就政見落實的可行性，從我長期參與房地產資本市,財經,地產風雲,2024/01/03,"2024總統大選,賴清德,柯文哲,住房政策,侯友宜,居住正義,總統候選人政見,總統大選"
