content_id,content_title_h1,content_title_h2,content_class_main,content_class_sub,content_date_time,content_all,content_tag
,離岸風電3-1期簽約業者全到齊 啟動2026至2027年區塊開發新布局,,要聞,政經焦點,2023/08/30,"


經濟部主導離岸風電第三階段第一期（3-1期）行政契約最後簽署期限於昨日（30日）截止，經濟部能源局表示，共有五家業者全數向經濟部申請簽約，啟動2026至2027年區塊開發離岸風電新布局。
參與離岸風電3-1期五家風場概況
離岸風電3-2期選商作業也隨即啟動。經濟部表示，為促進離岸風電發展，並有效發揮國土資源利用價值，3-2期遊戲規則正持續廣徵各界意見，將會邀請開發商就3-2期遊戲規則召開徵詢會議，預訂9月底正式公告選商規則；經濟部預計明年1月進行投標，4月底前公告選商結果。










截至昨日止，有五個風場向經濟部申請簽約，分別為哥本哈根基礎建設基金（CIP）的渢妙風場、風睿能源（SRE）的海盛風場、科理歐永續能源（Corio Generation）及道達爾能源（TotalEnergies）的海鼎二風場、法國電力再生能源公司（EDF Renewables）及台亞風能的環洋風場、力麗（1444）集團及天豐新能源合力開發的海峽風場。業者完成行政契約簽約後，就可開始進行地質鑽探、水下基礎等工程。

能源局表示，在收到上述五家風場簽約資料收件後，將開始審查相關文件，儘速完成行政契約簽約作業。

經濟部表示，為達成2050年淨零碳排，離岸風電是全球推動淨零轉型，非常重要的路徑，相對成熟且具商業化，申請3-1期簽約五家業者，完工併網時間為2026，2027年，經濟部將積極協助業者如期完工併聯，並將堅持既定能源政策全力推動離岸風電，建構友善開發環境，積極協助獲選業者如期如質完成離岸風電建置目標。

經濟部能源局主祕翁素真昨日上午出席沃旭與15家國內外銀行250億元永續連結循環融資案簽約典禮時表示，政府會持續開發離岸風電，2025年將會達到5.6GW；之後2026年至2035年每年釋出1.5GW，到2050年最終會達到40至55GW。

經濟部昨日表示，離開風電開發商展現離岸風電在地化、產業及地方發展投入的決心，期盼帶動國內離岸風電相關產業鏈共同參與離岸風場建設工程，並基於公平性原則下維持台灣的產業競爭力，並持續健全相關評選機制及後續規劃，達成我國能源、產業與環境永續的能源轉型願景。


離岸風電…業者主要考量點

離岸風電3-2期 開發商摩拳擦掌…六家要競標
 ","離岸風電,再生能源,經濟部"
,台積電如何成功技術領先 張忠謀分享關鍵4核心價值,,產業,產業熱點,2023/05/18,"

台積電（2330）創辦人張忠謀近日受邀演講分享台積電如何技術領先，張忠謀特別強調，台積電核心價值是誠信正直（Integrity）、承諾（Commitment）、創新（Innovation）及信任（Customer Trust）。

近期臺北榮總112年大師講座，邀請台積電張忠謀創辦人，以「創新、成長、管理與永續」為題分享台積電的成功經驗。










依據臺北榮總粉專說明，該場大師講座很榮幸邀請到「護國神山」台積電張忠謀創辦人，以「創新、成長、管理與永續」為題，分享台積電的成功經驗。為了一睹創辦人的風采，北榮及合作醫院的同仁前所未有地將介壽堂會場擠爆，現場逾一千人。

依據說明，一小時精彩的座談，從台積電如何技術領先談到喜愛閱讀、選書的經驗，座談在全體起立鼓掌中結束。台積電創辦人張忠謀近期受邀臺北榮總大師講座。圖翻攝北榮FB ","台積電,張忠謀,創新"
,美超微怪獸級財測帶旺台鏈 法人按讚廣達、緯創、金像電、優群等,,產業,產業熱點,2024/01/31,"



美超微（Supermicro）上季財報優於預期，本季財測達「怪獸級」（monster），並上調全年展望，同時高喊「驚人的成長才剛開始」，為AI伺服器前景按讚。

法人點名，台灣供應鏈包括廣達（2382）、緯創、緯穎等代工廠，PCB族群金像電、博智、欣興及健鼎，連接器廠優群、封測廠華泰將沾光。










美超微30日美股早盤股價大漲10%，帶旺供應商輝達（NVIDIA）、同業戴爾走高；台廠供應鏈今年營運可望優於預期，股價上演慶祝行情，金像電大漲超過4%，廣達、華泰強漲超過3%，緯穎、健鼎漲幅均逾2%，緯創、博智也勁揚。
美超微財報會議重點
美超微與輝達（NVIDIA）關係密切，其動態被市場視為可一窺輝達與AI市況發展的重要指標。代工大廠廣達看好，AI伺服器將是今年營運成長一大動能，隨著供應鏈缺料情況緩解，5、6月出貨將轉強。

緯穎主要客戶為美國三大雲端服務供應商（CSP），為微軟、Meta的第一、第二大供應商，今年隨著第三家客戶亞馬遜AWS特殊應用IC（ASIC）伺服器專案逐步發酵，將帶動AI伺服器業務強勁成長。

金像電為國內伺服板龍頭廠，打入主要CSP廠AI伺服器供應鏈，法人看好，金像電今年AI伺服器產品營收可望較去年翻倍成長。博智也看好，伺服器動能復甦有望延續至上半年。

優群主要供應用於伺服器的LONG-DIMM，市占率仍低，為美超微主要供應商，今年營運成長幅度可望優於優於產業平均。華泰目前伺服器占成品事業營收比重約六成，美超微為最大客戶，占整體伺服器出貨比重高達九成。

美超微年度第2季（上季）營收年比暴增一倍多、達36.6億美元，經調整後每股純益5.59美元，高於市場預期。執行長梁見後表示，「公司持續贏得新夥伴的同時，現有終端客戶需要更多美超微優化的AI電腦平台與機櫃級（rack-scale）整體IT解決方案」。

美超微預估，本季營收介於37億美元至41億美元，年增2.04倍，調整後每股純益5.2至6.01美元，遠優於分析師預期。

美超微並上修全年營收展望，預估介於143億美元至147億美元，高於原預期的100億美元至110億美元，以中位數估算，年增幅也超過一倍。

梁見後29日向華爾街分析師表示，該公司「驚人成長才剛開始」，光是上季營收就超越2021年度全年，目前需求仍高於供應量。

延伸閱讀
PC產業可望回溫 代工廠將重返成長軌道
今日最夯股／美超微調升全年營收展望 麗臺股價創近2年高

 ","伺服器,超微,美元"
,群創邁向獲利 外資狂敲,選股原則,證券,集中市場,2023/12/31,"



群創（3481）2024年迎接五大利多，預期面板市況將好轉，朝獲利目標邁進。群創獲外資連八買，近五日外資合計買超75,559張，投信買超8,443張，自營商賣超1,400張，三大法人合計買超82,602張，群創29日股價收在14.3元，上漲0.2元，漲幅1.42%。
群創股價走勢
群創今年第3季每股淨損0.21元，累計今年前三季每股淨損1.64元，自2022年第2季以來連六季虧損。










群創董事長洪進揚表示，群創正在積極轉型，希望提高附加價值，他透露，群創跨入PLP半導體封裝領域客戶反應非常熱絡。2024年可望通過客戶驗證，於下半年正式出貨。

群創總經理楊柱祥日前強調，迎接疫情後的三大運動賽事2024年中登場，加上電視面板平均尺寸加速放大，以及導入AI功能的手機及筆電陸續問世，加上總經面升息等利空鈍化，面板業產業秩序穩定訊號出現等五大利多助攻下，明年面板市況將好轉，群創將朝獲利目標邁進。

群創總經理楊柱祥表示，2024年三大運動賽事在巴黎的奧運、歐洲盃、美洲盃，足球賽事讓電視需求會讓面板尺寸無限大，能去化更多的產業鏈整理。當電視穩定、產能去化，接下來AI手機、AI筆電，新的軟體需求都須帶入新的硬體，楊柱祥表示，明年可望有換機潮，審慎樂觀看未來發展。

群創小檔案楊柱祥分析指出，即使2024年電視銷售的總量不變，但是全球電視面板的平均尺寸增加1.4吋，中國大陸市場更是領先成長2.2吋至2.4吋，持續往更大尺寸移動。目前電視面板的主流尺寸是50吋至55吋，未來將朝65吋至75吋發展，甚至85吋至98吋等更大尺寸，對面板產能去化幫助大。

另外，現在手機是5G，未來AI導入手機後，預料將掀起手機硬體的更換潮，加上微軟、Google持續端出生成式AI應用服務，電腦需要更高的運算能力，這樣一來，不只是伺服器需更新，也會帶動筆電硬體換機需求，對新面板的拉貨動能值得期待。

就總經來看，隨著大環境壞消息鈍化，戰爭未擴大、利率不再升息，讓通膨及物價指數都逐漸穩定下來。展望2024年，在面板廠嚴控庫存、降低產能利用率下，整體產能沒有變多，電視、手機及筆電又都有新的需求，加上產業秩序比較穩定，都會讓2024年會比2023年好。

群創指出，2024年元月開展的2024美國消費性電子展（CES），群創雖然未參與展場的攤位，但仍會在飯店針對客戶展示新技術與新產品，包括130吋大電視、以及採用MicroLED的車用面板及電視用面板產品，相關技術已與客戶進入導入設計（Design in）階段。

群創近六季營運

選股原則

5日均價大於10均價，10日均價大於20均價，近五日三大法人買超大於1,000張。 ","電視面板,群創,手機"
,整理包／AI PC將掀換機潮！AI PC 是什麼、各廠布局、概念股一次看,"AI PC是什麼？,AI PC有何好處？,大廠布局？,一、晶片,二、作業系統,三、品牌,AI PC概念股有哪些？,AI PC 未來展望?",產業,產業熱點,2023/12/20,"


「AI PC」正夯，有望掀起換機潮，近日相關概念股表現強勢。英特爾執行長基辛格先前表示，AI PC將成為PC產業回春的一大轉捩點，其他半導體巨頭超微（AMD）、高通（Qualcomm）及輝達（Nvidia）積極布局，宏碁、華碩等品牌廠也推出新品，到底AI PC是什麼、各廠進度如何、概念股有哪些，本報整理相關資料供讀者參考。

AI PC是什麼？

目前業界對AI PC的定義仍不明確，不過廣義上來看，AI PC是指電腦裝置本身具備生成式AI功能，目前ChatGPT等生成式AI要靠雲端平台執行運算，而透過AI PC，使用者不需仰賴雲端，在裝置上就能進行AI運算。










AI PC有何好處？

惠普（HP）執行長羅爾斯指出，若企業或個人用戶想用AI應用程式處理私人數據，不必將數據上傳，AI PC就能直接處理，不只減少延遲時間，也能提高資安防護。

大廠布局？

科技巨頭爭相卡位AI PC，帶您從晶片、作業系統、品牌三個面向來看各廠布局。

一、晶片

英特爾：

英特爾10月時已宣布推出業界首個 AI PC加速計畫，美國時間12月14日發布代號「Meteor Lake」的 Core Ultra處理器，首次整合NPU以提升AI運算能力，並採用Foveros高級3D封裝技術，可提供更高的能源效率和圖形效能。

英特爾15日也在台舉辦相關發布活動，包括宏碁、華碩、微星、神達、技嘉、雲達、富士康工業互聯網、研華、英業達、和碩、美超微、緯創與緯穎等廠商的相關筆電或伺服器產品都亮相。英特爾執行長基辛格表示，有信心兩年內領先業界、於2025年達成出貨超過1億台AI PC的目標。

高通：

高通也來勢洶洶，10月在夏威夷舉辦2023年Snapdragon高峰會，發表為PC打造的Snapdragon X Elite平台，這不是高通第一次跨入PC，但是是最被關注的一次，因為算力是高通目前為止在PC平台上推出最強的一代，高通總裁暨執行長艾蒙稱其採用的Oryon架構CPU，若干效能超越英特爾與蘋果的晶片。（延伸閱讀：AI PC的「魷魚遊戲」來了！高通領先英特爾 控盤者竟是他）

輝達、聯發科：

根據路透報導，輝達正規劃以安謀（Arm）架構打造CPU，這些CPU將執行微軟Windows作業系統，外資摩根士丹利證券則點名輝達合作夥伴是聯發科。

業界認為，輝達與聯發科各擁研發能量，兩強攜手搶進電腦CPU業務，戰力不容小覷，有望撼動英特爾在PC處理器的地位。輝達最快將在2025年開始銷售PC晶片。

超微：
超微執行長蘇姿丰7月出席創新日時，展示首款x86處理器的AI 引擎Ryzen AI，蘇姿丰看好AI龐大商機，並表示未來5年AI將無所不在， PC仍是非常大的市場。

二、作業系統

微軟：

微軟（Microsoft）10月31日表示，開始推出Windows 11個人電腦作業系統的重大更新，將包含名為「Copilot」的AI聊天機器人，能為用戶操作作業系統功能，並在廣大網路資訊的協助下回答問題，在AI PC競賽中加強軟體攻勢。

三、品牌

宏碁：

宏碁推出Acer Swift Go 14筆電，搭載英特爾「Intel Core Ultra 7 155H」處理器，提供即時喚醒、快速充電，以及長達12.5小時的長效電池續航力。宏碁表示，Intel Ultra Core H系列處理器，配備專屬AI引擎Intel AI Boost及Intel Arc顯示晶片，驅動多項AI功能，產品正式開賣，入手價3.49萬元起。

陳俊聖20日表示，宏碁AI PC正在出貨，訂單能見度到明年第1季。（延伸閱讀：AI PC本土品牌3.5萬有找 宏碁、華碩等首波新品搶市）

華碩：

華碩推出Zenbook 14 OLED，通過Intel Evo認證，搭載最新Intel Core Ultra處理器和Intel Arc顯示晶片，有效降低CPU負載，大幅提高運算能力，產品也已上市，入門價4.89萬元起。

聯想：

大陸PC巨頭聯想（Lenovo）10月在公司年度科技活動上，展示首款AI PC，聯想集團董座楊元慶表示，將在明年9月後上市。在他看來，AI PC有個成熟的過程，按照歷史規律，前期將有 10%的市佔率，日後會成為主流，「我相信未來每一個電腦都是 AI PC」。

延伸閱讀
華碩、宏碁等搶推 AI PC 比一比 齊迎2024年大爆發

各大廠AI PC布局。經濟日報製表

AI PC概念股有哪些？

AI PC成為近日台股盤面焦點，從IC設計、晶片先進製程、記憶體到零組件及組裝廠都將受惠，有望接棒AI伺服器族群成為下一波資金布局的產業。

目前受市場矚目的「AI PC概念股」，包含晶圓代工的台積電、聯發科；封裝技術的日月光投控；品牌電腦的宏碁、華碩；代工廠廣達、緯創、英業達、仁寶，另還有譜瑞-KY、祥碩、新普、欣興等。（延伸閱讀：AI PC概念股投資新顯學 新普、廣達等營運看俏）

AI PC概念股。經濟日報製表

AI PC 未來展望?

業界普遍看好，2024年是AI PC元年，推升PC供應鏈相關廠商2024年業績恢復成長，2025年逐步爆發。

和碩（4938）及華碩都認為消費者對於AI PC還需要時間接受，和碩指出2024年雖會看到很多AI PC上市，但需求真正爆發應該是2025年；華碩共同執行長胡書賓預估2024年AI PC滲透率約個位數百分比，到2025年達到雙位數百分比；宏碁董事長陳俊聖則指出，「它是一個逐漸的過程，不會明天開始就有AI PC，是漸進式的發生」。

（資料來源：記者王皓正、王郁倫、林宸誼、吳凱中、蕭君暉、編譯簡國帆、葉亭均）


📣AI浪潮來襲，我們如何因應？我們推出 #AI大進擊 系列節目，跟你聊聊各產業AI熱門話題，訂閱我們聆聽最新AI趨勢。

🎧立即收聽：【AI大進擊EP03】「個人化AI」是殺手級應用！AI PC元年電腦怎麼挑？功能有哪些？專家親自說給你聽 ft.微星

 ","AI,PC,英特爾,華碩,宏碁"
,一次看懂實支實付之亂 1／副本理賠恐成絕響 少了雙實支、三實支 醫療保障真會出現大破口？,"為什麼會有副本理賠的實支實付保單？,實支實付走歪了 看病竟然可以賺錢,回歸損害填補原則 病患家庭隱形支出問題浮現,未來對策：加強重大疾病保障",要聞,深度報導,2024/01/11,"


去年12月26日金管會證實將研擬改革實支實付醫療險，回歸「損害填補」原則，消息一出，三天內五家推出副本理賠的保險公司火速宣布停售、下架或是收緊投保政策。在醫療費用越來越昂貴的時代，欠缺「雙實支」、「三實支」保護傘，未來醫療保障真的會出現巨大破口嗎？

一次看懂實支實付之亂2／保險公司火速下架 最怕「靠生病賺錢」的人越來越多 真的是這樣嗎？









一次看懂實支實付之亂3／消費者買不到副本理賠就慘了嗎？非也，市場將有這些轉變


為什麼會有副本理賠的實支實付保單？

一般實支實付醫療險保單，會分成三種科目，病房費日額、手術費 、其他（俗稱雜費）； 實支實付理論上是「實報實銷」，但還是會依據你買的額度做理賠，而不是無限上綱，無論你花多少錢醫療費，保險都會全部埋單；也因此給了第二張以上實支實付醫療險保單生存的空間。

保險業者表示，副本理賠是市場競爭下的產物；幾家大保險公司由於行銷網絡、企業形象等先天優勢存在，實支實付商品市占率超過五成，因此鮮少推出副本理賠實支實付醫療險。

當年由於外商、中小型保險公司拚不過大型保險公司，2007年起就推出了副本理賠商品，希望搶占第二張、第三張實支實付的市場。

自此，所有的保險行銷人員都會告訴客戶，正本理賠保單買兩張沒有意義，因為第二張理賠不到，只要一張正本理賠，搭配幾張副本理賠就好。

學理上，實支實付健康險被認為是「中間性保險」，也就是人身保險的外觀，財產保險的內涵。

保險法專家、北宇管顧總經理劉北元表示，由於實支實付醫療險是看單據給付的，因此給付方式是產險的賠償概念，但是又被包裝在健康險裡面，健康險是人身保險，沒有損害填補的問題，被認為是抽象性填補，也因此造成市場認為，「實支實付」不管幾張，都沒有不當得利，可以逃避損害填補原則。

這也給了保險市場的「後進者」機會，利用模糊地帶推出副本理賠商品，在市場上去搶占第二張、第三張的市占率 ，甚至以前還有第四張、第五張，劉北元說。



實支實付走歪了 看病竟然可以賺錢

劉北元表示，法院判決和學術界對此現象，一直都有批判，認為實支實付醫療險是中間性保險，是有損害填補原則的使用，「 但實務界完全不理會，還是走自己的路」，進而衍生出後續「生病賺錢」的現象。

金管會幾年前就想要改成損害賠償原則，但是那次引發非常大民怨，因此2019年妥協了，「先改一半」，改成每人最多買三張。

磊山保經業務總經理林世德表示，每個時代都有其背景因素，當初確實也是保險局同意副本理賠的，只是後來有各式各樣的風氣 出現，讓部分人士利用副本理賠的方式產生不當利益，進而導致現在大家都受到影響。

林世德指出，「以前確實有保戶很誇張的買到七、八張，很容易有道德風險的發生，限縮為『三實支』已經可以有效限制利用保險賺錢的行為 」。

林世德並認為，2019年限縮三張，是方向的調整 ，這次回歸損害填補原則，影響將更為深遠。

「雖然用保險賺錢不可取，但是生病住院造成的損害，範圍比一般想像廣泛」，林世德說，市場會推行「雙實支」，主要原因有二，「首先可以有效轉嫁醫療費用，其次可以降低被拒賠的風險 」。

回歸損害填補原則 病患家庭隱形支出問題浮現

他解釋，首先是現在自費醫療項目越來越多，每張實支實付醫療險都有限額 ，多買一張副本理賠，超過第一張限額的醫療支出也可以被保障到；其次，每一家保險公司理賠認知不一樣，同樣一分醫療單據可能Ａ公司理賠，B公司不理賠。

生病住院不只是手術、住院、處置等費用，還有病人本身和照顧的家屬，請假造成收入中斷，以及請看護的費用，這類隱形損害 、機會成本也需要被保障到，更進階的認為要買三張，拿到三份理賠，因此有了「三實支」的概念。

不過，以雙實支、三實支來彌補生病住院產生的隱形損失，劉北元認為是倒果為因，因為醫療險保單本來就不是在保障這些風險，「 不應該挖東牆補西牆，你如果認為有這些風險要保障，保險公司應該去開發彌補這方面損失的商品」，再不然就是跟防疫保單「 隔離就理賠」的概念一樣，推出一個定額的保障商品。

林世德說，回歸損害填補原則，方向是正確，但是怎樣的損害才是損害 ？因為生病住院收入中斷，有收入的家人請假照顧病人，這些隱形的、無形的、機會成本的損失，以往可以用終身醫療險的理賠彌補，因此以前也會採取一張實支實付搭配一張終身醫療的日額給付商品，用日額來補償收入損失。

但是現在很多醫療不需要住院，門診手術就可以完成，林世德指出，「終身醫療險的理賠啟動不了，收入的補償不存在」，市場上才會有雙實支 、三實支來彌補這些隱形損失的做法。

未來少了「雙實支」、「三實支」填補因為生病住院產生的隱形損失，在沒有新的替代性或轉型商品出來之前，大家都需要一段時間去適應。
現在很多醫療不需要住院，門診手術就可以完成，因為終身醫療險的理賠啟動不了，收入的補償不存在，市場上才會有雙實支 、三實支來彌補這些隱形損失的做法。 報系資料照
未來對策：加強重大疾病保障

林世德研判，未來市場會回歸保險「保大不保小」的方向，除了實支實付的額度要買夠之外 ，還會再補強單次給付的重大疾病險、重大傷病險或癌症險。

一般的醫療、住幾天醫院的，交給實支實付醫療險去填補損害，重大的疾病例如心臟病、腦溢血、癌症等持續性的醫療，則透過單筆大額的理賠做分配，一部分做損失填補，一部分做高階醫療費用。

全球人壽則建議，保戶可以增加定額給付型的疾病險，例如一次或多次給付型的癌症險、一次給付型重大傷病險、重大疾病險、特定傷病險來補強保障的缺口。此外，因應超高齡社會即將來臨 ，針對非住院治療提供保險給付的長照險，也是保戶不可或缺的保障。

延伸閱讀 》
一次看懂實支實付之亂2／保險公司火速下架 最怕「靠生病賺錢」的人越來越多 真的是這樣嗎？
一次看懂實支實付之亂3／消費者買不到副本理賠就慘了嗎？非也，市場將有這些轉變 ","醫療險,世德,防疫保單,發燒話題"
,黑松法說會／董座：原物料成本有壓力 明年上半年將有漲價計畫,,產業,產業熱點,2023/12/20,"


飲料大廠黑松（1234）今（20）日在證交所舉辦法說會，董事長張斌堂表示，原物料高漲壓力仍在，因此明年上半年將有漲價計畫，正對各個品項進行檢討，會以含糖或含乳商品為優先。

談到明年展望，預料飲料會再成長，將續推新品，未來將針對銀髮族研發好吞嚥或具營養素的飲料；酒品將代理歐洲與日本威士忌，行銷策略也做出改變。黑松今年前11個月累計營收達98.2億元，年增12.8％，創下歷史同期新高，法人表示，今年全年有望首度突破100億元，創歷史新高。










黑松明年將邁入99周年，董事會於今年11月決議通過副總經理張智鈞升任為總經理，今也與張斌堂共同出席法說會。張斌堂說，張智鈞在黑松20多年，從基層做起，歷練過業務、行銷，未來他會負責公司整體營運。

張斌堂也提到，今年原物料和去年相比漲價幅度高，糖價今年就上漲14%，價格比公司估的預算多出1,100多萬元，因美元上揚，近期又有紅海航運危機，明年預估會漲兩成。為此，黑松明年上半年將有漲價計畫，碳酸飲料去年已漲過，將進行其他品項的價格檢討，會以含糖或是含乳的商品為優先漲價對象。

今年黑松在新品挹注下，飲料本業業績年成長近10%，酒類事業年成長14%，也讓前11個月營收創下歷史新高。未來黑松將展開三大經營策略，一是布局飲料利基市場，明年預期飲料會再成長，將陸續推出新品，並開發銀髮族營養飲品。

張斌堂說，飲料以前都是年輕人要喝，現在要思考開發新客群，2025年台灣將進入超高齡社會，未來將拓展銀髮族市場，比如研發出濃稠、具膠質的飲料，方便銀髮族吞嚥，或進一步於飲料加入營養素。

二是擴展酒類品牌代理，行銷策略會做改變，例如與占星專家唐綺陽合作推出金門高粱酒，未來也會代理歐洲和日本威士忌，拓展商品廣度；三，拓展保健事業，黑松生技明年再鎖定女性保健市場，因台灣女性一般重視全家人健康，容易忽視自己需求，將研發偏向睡眠型的保健食品。
  ※ 提醒您：禁止酒駕 飲酒過量有礙健康   ","黑松,銀髮族,營收"
,挪公款逾十億引恐慌？台中銀老總發信：員工薪酬明入帳,,金融,金融脈動,2024/02/01,"


台中商銀董事長王貴鋒涉前挪用逾10億元供租購超跑、豪車、北市中山區豪宅招待所，甚至是私人飛機，作為私人豪奢生活使用，引台中商銀員工恐慌，今台中銀（2812）總經理賈德威發一封公開信，表示員工薪水、獎金都會如期在2月2日入帳。

賈德威信中提及兩大重點，一、該事件對台中銀財業務都沒有影響，員工應得的薪水、獎金都會如期在2月2日入帳，二、董事長王貴鋒已裁定交保，相信很快回到公司與同仁一起替台中銀奮力打拼。










惟金管會晚間已做出懲處，對王貴鋒處停職三個月。

此外，也有民眾擔心因應都更、存入台中銀履約保證價金，是否會消失？銀行局副局長林志吉說，台中商銀財業務指標都是符合監理規定，包括適足率、逾放比，也比同業平均佳。

至於都更的價金信託，收受的信託財產是具有獨立性，跟銀行財務分開，也不受強制執行規定。

以下是台中銀總經理賈德威給台中銀同仁的一封信：

各位親愛的同仁，大家好：

大家辛苦了，過去兩天發生的突發事件，讓大家承受極大的壓力，非常感謝同仁們在壓力下堅守崗位服務客戶及回應各方的殷切詢問，本次事件屬單一事件，本行已發布重大訊息及新聞稿向外界說明，本行的日常經營和業務運作仍穩定運行，絲毫不受影響，各位同仁應得的薪水、獎金皆會如期在2月2日發放，請大家放心。

銀行最重要的莫過於是客戶關係的維繁及客戶的信任，此有賴各位同仁凝聚向心力，一同努力付出，經此事件，期許大家更加團結，共同讓行繼續穩健向前，讓投資大眾對本行的經營狀況更有信心，本行王董事長已於今日經新北地方法院裁定交保，相信會很快回到公司與同仁一起為台中銀行奮力打拼，本人也將持續與大家站在一起，面對未來所有的挑戰。台中商銀陷風暴，台中銀總經理賈德威今發一封公開信，表示員工薪水、獎金都會如期在2月2日入帳。 讀者提供

延伸閱讀

董座王貴鋒挪用10億公款 金管會重罰台中銀1200萬元、停職3個月
台中銀董事長王貴鋒遭停職 金管會說是否解職要看這件事 ","台中銀,銀行,都更"
,飆股的故事／芯鼎攻車用IC 營運現轉機,,證券,集中市場,2023/12/31,"



老牌數位相機IC設計公司芯鼎（6695）挾神盾、凌陽兩大集團加持，車用智慧影像晶片布局成效漸顯，且車用SoC（單晶片系統）及ISP（智慧影像處理器）通過車規認證，陸續進入量產，基本面出現轉機，吸引買盤，上周五（29日）收盤價72.7元，從11月中盤中低點43.85元起漲，波段漲幅六成五。
芯鼎股價走勢
成立於2009年的芯鼎，由凌陽集團旗下凌陽科技的行動影音多媒體研發團隊創立而成，專注ISP晶片IC設計，在台灣數位相機產業高度成長的黃金歲月，芯鼎也曾享受過無上風光，以2015年來說，全年營收一度達11億元，數位相機就占了9億元，不過當智慧手機取代數位相機功能，芯鼎曾賴以生存的搖錢樹也逐漸消失。 ","晶片,人工智慧,神盾"
,緯創去年賺114億 三率三升 EPS衝上4.08元、毛利率7.9%,,產業,產業熱點,2024/01/19,"


電子代工大廠緯創（3231）昨（18）日公告自結去年第4季獲利逾33億元，季減29%，每股純益1.18元，但單季毛利率衝上9.3%，不僅創新高紀錄，且帶動全年「三率三升」。
緯創去年度毛利率衝上7.94%，為歷年最佳，且為連六年成長、連二年站穩7%之上；全年稅後純益114.7億元，年增2.76%，每股純益4.08元，締造12年來新猷。









緯創近六季毛利率與EPS
緯創去年7月宣布出售所有立訊持股，但因去年第2季業外持有立訊股票評價利益挹注5.35億元，使前三季財報提列業外總損失金額僅約2.51億元，低於預期。緯創去年營運較2022年成長，顯見近年來轉型朝高毛利產品布局的效益，已逐漸開花結果。

緯創去年第4季受惠一次性工程費用（NRE）挹注，毛利率進補、衝上9.3%，季增1.4個百分點，年增0.71個百分點，創單季新高；除毛利率外，營益率、稅後純益率均較上季成長，與全年同步呈現「三率三升」，單季稅後純益33.35億元，季減29%，年減18.18%，每股純益1.18元。

緯創去年第4季筆電、桌機及顯示器等三大產品線，出貨量均與前一季約略持平，由伺服器業務帶頭衝，包括AI伺服器、整體伺服器出貨量，都較去年第3季成長雙位數百分比。

緯創看好，今年AI伺服器將是營運主要成長動能，預估本季AI伺服器出貨量持續升溫，全年看增雙位數百分比，但受季節性因素影響，本季整體伺服器、筆電出貨量都會較去年第4季下滑。其他產品線方面，緯創預期，車用、桌機等業務可望年增雙位數百分比，筆電年增個位數百分比，顯示器則將持平表現。

因應產能所需，緯創新竹三座廠區正陸續擴建，本月底會有湖口新廠新產能加入，主要負責高毛利的AI伺服器基板及系統組裝等，下半年則有新竹AI智慧園區加入。

緯創去年10月宣布將印度廠出售給印度塔塔集團，等同正式退出蘋果iPhone供應鏈，營運調整也告一段落。由於減少認列印度工廠支出，業界估計，每年可為緯創每股多賺0.5元以上。

另一方面，緯創今年AI伺服器業務新產能將開出、產品陸續放量，旗下緯穎也受惠AI伺服器浪潮起飛，緯創今年獲利可望持續向前衝。緯創昨天股價下跌0.2元、收97.7元。


延伸閱讀

緯創一次性工程費用 成毛利率新高最大功臣
 ","緯創,伺服器,AI"
